"year","marital","age","race","rincome","partyid","relig","denom","tvhours"
2006,"Divorced",69,"Black","Refused","Strong republican","Protestant","Southern baptist",NA
2006,"Separated",34,"Other","Refused","Independent","Catholic","Not applicable",NA
2006,"Married",30,"Black","Refused","Not str democrat","Protestant","Baptist-dk which",NA
2006,"Never married",24,"White","Refused","Independent","None","Not applicable",NA
2006,"Separated",43,"White","$4000 to 4999","Ind,near rep","Protestant","Southern baptist",NA
2006,"Divorced",48,"White","$25000 or more","Not str republican","Protestant","Other",NA
2006,"Never married",43,"White","$25000 or more","Ind,near dem","Protestant","Am bapt ch in usa",2
2006,"Married",34,"White","$25000 or more","Independent","Protestant","Southern baptist",1
2006,"Married",51,"White","$25000 or more","Not str republican","Protestant","United methodist",2
2006,"Divorced",46,"White","$15000 - 19999","Independent","Protestant","No denomination",NA
2006,"Widowed",40,"White","$20000 - 24999","Independent","Protestant","Baptist-dk which",NA
2006,"Separated",74,"White","Not applicable","Independent","Protestant","No denomination",NA
2006,"Married",32,"White","$25000 or more","Not str republican","Protestant","United methodist",NA
2006,"Married",33,"White","Not applicable","Strong republican","Protestant","No denomination",NA
2006,"Married",61,"White","$25000 or more","Not str republican","Protestant","Southern baptist",NA
2006,"Married",69,"White","Not applicable","Independent","Protestant","No denomination",3
2006,"Never married",22,"White","$1000 to 2999","Not str republican","Protestant","Am lutheran",3
2006,"Married",56,"White","Refused","Independent","Protestant","Southern baptist",NA
2006,"Married",78,"White","Not applicable","Strong republican","Protestant","Southern baptist",NA
2006,"Never married",24,"White","$10000 - 14999","Not str republican","Protestant","Southern baptist",3
2006,"Divorced",74,"White","Not applicable","Strong republican","Protestant","United methodist",NA
2006,"Married",37,"White","$25000 or more","Strong republican","Protestant","Am baptist asso",NA
2006,"Married",49,"White","$1000 to 2999","Independent","Protestant","Southern baptist",NA
2006,"Divorced",62,"White","Not applicable","Ind,near dem","Other","Not applicable",3
2006,"Divorced",47,"White","Not applicable","Independent","Protestant","Southern baptist",NA
2006,"Divorced",40,"White","$15000 - 19999","Ind,near rep","Protestant","Am baptist asso",NA
2006,"Widowed",72,"White","Not applicable","Ind,near rep","Protestant","Southern baptist",4
2006,"Married",38,"White","Refused","Strong democrat","Protestant","Southern baptist",NA
2006,"Married",60,"White","Not applicable","Not str republican","Protestant","Other baptists",3
2006,"Divorced",40,"White","$25000 or more","Independent","Protestant","Southern baptist",NA
2006,"Married",61,"White","Not applicable","Not str republican","Protestant","Southern baptist",4
2006,"Married",82,"White","Not applicable","Not str democrat","Catholic","Not applicable",8
2006,"Divorced",48,"White","$10000 - 14999","Strong democrat","Protestant","Southern baptist",6
2006,"Married",53,"White","$25000 or more","Not str republican","Protestant","Southern baptist",2
2006,"Married",45,"White","$25000 or more","Not str democrat","Protestant","United methodist",NA
2006,"Married",33,"White","Not applicable","Ind,near dem","Protestant","Nat bapt conv of am",NA
2006,"Divorced",45,"White","$25000 or more","Not str republican","Protestant","Southern baptist",3
2006,"Divorced",52,"White","$15000 - 19999","Not str republican","Protestant","Southern baptist",NA
2006,"Never married",18,"White","Not applicable","Independent","Catholic","Not applicable",NA
2006,"Married",45,"White","$25000 or more","Independent","Catholic","Not applicable",NA
2006,"Married",61,"White","$25000 or more","Not str republican","Protestant","Southern baptist",2
2006,"Married",47,"White","Not applicable","Independent","Protestant","Southern baptist",NA
2006,"Widowed",60,"White","$20000 - 24999","Strong republican","Protestant","United methodist",NA
2006,"Never married",19,"White","$1000 to 2999","Independent","Catholic","Not applicable",5
2006,"Married",55,"White","$25000 or more","Strong republican","Protestant","Southern baptist",NA
2006,"Divorced",35,"White","$6000 to 6999","Ind,near dem","Protestant","Southern baptist",1
2006,"Widowed",72,"White","Not applicable","Strong republican","Protestant","Southern baptist",1
2006,"Married",25,"White","$25000 or more","Strong republican","Protestant","Other",1
2006,"Divorced",32,"White","$25000 or more","Independent","Protestant","Baptist-dk which",NA
2006,"Never married",27,"White","$25000 or more","Independent","Protestant","United methodist",NA
2006,"Widowed",89,"Black","Not applicable","Not str democrat","Protestant","Afr meth ep zion",NA
2006,"Married",28,"White","$3000 to 3999","Not str democrat","Protestant","Southern baptist",4
2006,"Married",51,"White","$25000 or more","Independent","Protestant","Southern baptist",1
2006,"Married",38,"White","$10000 - 14999","Strong democrat","Protestant","Southern baptist",NA
2006,"Divorced",48,"White","$25000 or more","Independent","Protestant","United methodist",3
2006,"Never married",43,"White","$25000 or more","Ind,near dem","Protestant","Lutheran-mo synod",NA
2006,"Separated",58,"Other","Not applicable","Ind,near rep","Buddhism","Not applicable",4
2006,"Married",57,"White","$15000 - 19999","Ind,near dem","Protestant","Southern baptist",NA
2006,"Married",24,"White","$20000 - 24999","Not str republican","Protestant","No denomination",3
2006,"Divorced",64,"White","Not applicable","Strong democrat","Protestant","United methodist",NA
2006,"Never married",22,"White","$25000 or more","Ind,near dem","Protestant","No denomination",6
2006,"Divorced",46,"White","Refused","Not str democrat","Protestant","Southern baptist",5
2006,"Widowed",61,"White","$15000 - 19999","Strong democrat","Protestant","Baptist-dk which",NA
2006,"Divorced",55,"White","$25000 or more","Not str republican","Protestant","Other baptists",1
2006,"Widowed",71,"White","Not applicable","Independent","None","Not applicable",4
2006,"Never married",34,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",NA
2006,"Never married",19,"White","Not applicable","Not str republican","Christian","No denomination",NA
2006,"Divorced",70,"White","No answer","No answer","No answer","No answer",NA
2006,"Married",60,"White","$20000 - 24999","Strong republican","Protestant","Southern baptist",2
2006,"Divorced",61,"White","$15000 - 19999","Not str republican","Protestant","Baptist-dk which",NA
2006,"Divorced",63,"White","Not applicable","Not str democrat","Protestant","Baptist-dk which",3
2006,"Married",63,"White","Refused","Not str democrat","None","Not applicable",NA
2006,"Divorced",47,"White","Not applicable","Ind,near dem","Protestant","Southern baptist",4
2006,"Widowed",82,"White","Not applicable","Not str democrat","Protestant","United methodist",NA
2006,"Divorced",66,"White","Not applicable","Strong republican","Protestant","United methodist",2
2006,"Married",51,"White","$25000 or more","Not str republican","Catholic","Not applicable",5
2006,"Married",42,"White","$25000 or more","Strong democrat","Protestant","Baptist-dk which",NA
2006,"Married",44,"White","$25000 or more","Not str republican","Protestant","Southern baptist",1
2006,"Married",53,"White","$20000 - 24999","Not str republican","Protestant","Southern baptist",NA
2006,"Married",45,"White","$25000 or more","Independent","Protestant","Baptist-dk which",NA
2006,"Married",52,"White","$10000 - 14999","Not str democrat","Protestant","Presbyterian, merged",NA
2006,"Married",57,"White","$25000 or more","Ind,near rep","Protestant","United methodist",2
2006,"Married",32,"White","Not applicable","Not str republican","Protestant","Baptist-dk which",1
2006,"Married",53,"White","Not applicable","Ind,near dem","Protestant","Other",NA
2006,"Divorced",59,"White","Not applicable","Not str republican","None","Not applicable",0
2006,"Divorced",47,"White","$25000 or more","Ind,near rep","Protestant","Other",NA
2006,"Divorced",56,"White","$25000 or more","Not str democrat","Protestant","Other",0
2006,"Widowed",67,"White","Not applicable","Not str democrat","Protestant","Southern baptist",3
2006,"Married",29,"White","Not applicable","Strong republican","Protestant","Southern baptist",NA
2006,"Married",62,"White","Not applicable","Independent","Protestant","Southern baptist",2
2006,"Never married",34,"White","Not applicable","Ind,near dem","Protestant","Other",NA
2006,"Widowed",61,"White","Refused","Independent","Protestant","Southern baptist",NA
2006,"Widowed",62,"White","$8000 to 9999","Ind,near rep","Protestant","Baptist-dk which",NA
2006,"Married",38,"White","$25000 or more","Strong republican","Protestant","Southern baptist",NA
2006,"Widowed",54,"White","Not applicable","Not str democrat","Protestant","Baptist-dk which",NA
2006,"Married",69,"White","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2006,"Divorced",29,"White","Not applicable","Ind,near rep","Protestant","Baptist-dk which",NA
2006,"Divorced",28,"White","$5000 to 5999","Independent","None","Not applicable",4
2006,"Married",82,"White","Not applicable","Strong republican","Protestant","Baptist-dk which",NA
2006,"Married",26,"White","$20000 - 24999","Ind,near rep","Protestant","Baptist-dk which",NA
2006,"Married",39,"White","$6000 to 6999","Ind,near rep","Protestant","Baptist-dk which",NA
2006,"Separated",63,"White","Not applicable","Strong republican","Protestant","Baptist-dk which",NA
2006,"Never married",46,"White","Not applicable","Ind,near dem","Protestant","Baptist-dk which",NA
2006,"Married",63,"White","Not applicable","Not str democrat","Protestant","Other",3
2006,"Separated",58,"White","$10000 - 14999","Not str republican","Protestant","Baptist-dk which",NA
2006,"Married",63,"White","$15000 - 19999","Not str democrat","Protestant","Baptist-dk which",NA
2006,"Married",42,"White","Not applicable","Strong republican","Protestant","Baptist-dk which",NA
2006,"Divorced",62,"White","$3000 to 3999","Not str republican","Protestant","Southern baptist",NA
2006,"Married",73,"White","Refused","Strong republican","Protestant","Southern baptist",1
2006,"Married",51,"White","$25000 or more","Ind,near rep","Protestant","Southern baptist",NA
2006,"Divorced",30,"White","$25000 or more","Not str republican","Protestant","Baptist-dk which",1
2006,"Never married",28,"White","$6000 to 6999","Ind,near dem","Protestant","Southern baptist",NA
2006,"Divorced",51,"White","$25000 or more","Ind,near dem","Protestant","Southern baptist",NA
2006,"Married",53,"White","$25000 or more","Not str republican","Protestant","Episcopal",2
2006,"Never married",56,"White","$25000 or more","Strong republican","Catholic","Not applicable",4
2006,"Divorced",74,"White","$25000 or more","Not str democrat","None","Not applicable",2
2006,"Never married",48,"Black","Lt $1000","Strong republican","Protestant","Baptist-dk which",NA
2006,"Married",63,"Black","Not applicable","Strong democrat","Protestant","Other",NA
2006,"Married",60,"White","Refused","Not str republican","None","Not applicable",1
2006,"Married",37,"White","$25000 or more","Independent","None","Not applicable",NA
2006,"Married",56,"White","$25000 or more","Strong democrat","Protestant","Nat bapt conv of am",NA
2006,"Married",57,"White","$25000 or more","Independent","Protestant","Episcopal",NA
2006,"Widowed",89,"White","Not applicable","Ind,near rep","Protestant","United methodist",2
2006,"Divorced",37,"White","$1000 to 2999","Not str republican","Protestant","Lutheran-dk which",2
2006,"Widowed",63,"White","Refused","Not str republican","Protestant","Evangelical luth",1
2006,"Married",38,"White","$25000 or more","Independent","Catholic","Not applicable",NA
2006,"Married",57,"White","$25000 or more","Ind,near dem","Protestant","Episcopal",NA
2006,"Married",27,"White","$25000 or more","Not str republican","Protestant","Other",6
2006,"Married",43,"White","$25000 or more","Strong republican","Protestant","Other",NA
2006,"Married",47,"White","$25000 or more","Not str republican","Catholic","Not applicable",NA
2006,"Married",52,"White","$25000 or more","Ind,near dem","Protestant","Southern baptist",NA
2006,"Divorced",58,"White","$25000 or more","Not str republican","Protestant","Episcopal",NA
2006,"Married",30,"White","Refused","Strong republican","Catholic","Not applicable",NA
2006,"Married",37,"Black","$25000 or more","Strong democrat","Protestant","Southern baptist",2
2006,"Married",43,"White","$25000 or more","Strong republican","Protestant","No answer",NA
2006,"Widowed",79,"White","Not applicable","Other party","Catholic","Not applicable",NA
2006,"Married",57,"White","$4000 to 4999","Independent","Protestant","United methodist",2
2006,"Never married",21,"White","$10000 - 14999","Not str republican","Protestant","United pres ch in us",NA
2006,"Married",56,"White","$25000 or more","Independent","Catholic","Not applicable",NA
2006,"Married",46,"White","$10000 - 14999","Strong republican","Catholic","Not applicable",3
2006,"Married",60,"White","Refused","Ind,near dem","Protestant","United methodist",2
2006,"Never married",75,"Black","Not applicable","Independent","Protestant","Baptist-dk which",NA
2006,"Married",27,"White","$15000 - 19999","Ind,near dem","None","Not applicable",3
2006,"Married",37,"White","$25000 or more","Ind,near rep","Catholic","Not applicable",NA
2006,"Married",41,"White","Not applicable","Not str republican","Protestant","No denomination",1
2006,"Divorced",66,"Black","$10000 - 14999","Strong democrat","Protestant","No denomination",NA
2006,"Married",37,"White","$25000 or more","Not str democrat","Protestant","Southern baptist",1
2006,"Married",33,"White","$25000 or more","Independent","Protestant","Baptist-dk which",NA
2006,"Divorced",61,"Black","Not applicable","Strong democrat","Protestant","Nat bapt conv of am",NA
2006,"Married",46,"Black","$25000 or more","Strong democrat","Protestant","Southern baptist",NA
2006,"Widowed",58,"Black","$4000 to 4999","Strong democrat","Protestant","Nat bapt conv of am",3
2006,"Divorced",51,"Black","$25000 or more","Not str democrat","Protestant","Nat bapt conv of am",4
2006,"Widowed",36,"White","$15000 - 19999","Independent","None","Not applicable",1
2006,"Married",55,"Black","Not applicable","Ind,near dem","Protestant","Other",NA
2006,"Married",89,"White","Not applicable","Ind,near rep","Protestant","Southern baptist",4
2006,"Widowed",64,"White","Not applicable","Not str republican","Protestant","Baptist-dk which",NA
2006,"Divorced",53,"White","Not applicable","Independent","Protestant","Baptist-dk which",14
2006,"Divorced",44,"Black","$10000 - 14999","Strong democrat","Protestant","Other",3
2006,"Never married",20,"Black","Not applicable","Independent","Protestant","Baptist-dk which",2
2006,"Widowed",66,"White","Not applicable","Not str democrat","Protestant","Southern baptist",NA
2006,"Married",59,"Other","Don't know","Independent","Catholic","Not applicable",NA
2006,"Married",62,"Black","Not applicable","Not str democrat","None","Not applicable",NA
2006,"Divorced",26,"White","Not applicable","Independent","Protestant","Baptist-dk which",6
2006,"Never married",25,"White","$20000 - 24999","Ind,near dem","Protestant","Southern baptist",NA
2006,"Never married",26,"White","$20000 - 24999","Strong democrat","Protestant","Other",1
2006,"Married",53,"White","$20000 - 24999","Strong democrat","Protestant","Southern baptist",NA
2006,"Never married",30,"Black","Not applicable","Not str democrat","Protestant","Baptist-dk which",NA
2006,"Married",58,"White","Not applicable","Independent","None","Not applicable",NA
2006,"Never married",36,"White","$7000 to 7999","Ind,near rep","Protestant","United pres ch in us",NA
2006,"Married",41,"Black","$25000 or more","Strong democrat","Protestant","Southern baptist",3
2006,"Married",47,"Black","Not applicable","Strong democrat","Protestant","Other",NA
2006,"Married",48,"White","Refused","Independent","Protestant","Other",1
2006,"Widowed",63,"White","Not applicable","Strong democrat","Catholic","Not applicable",NA
2006,"Married",27,"White","$25000 or more","Not str republican","Protestant","Southern baptist",NA
2006,"Married",54,"Black","$20000 - 24999","Strong democrat","Protestant","Baptist-dk which",NA
2006,"Never married",28,"Black","$25000 or more","Independent","Protestant","Baptist-dk which",2
2006,"Divorced",65,"White","$25000 or more","Not str democrat","Protestant","Southern baptist",NA
2006,"Married",46,"Black","Not applicable","Ind,near dem","None","Not applicable",NA
2006,"Never married",44,"Black","Not applicable","Ind,near dem","Protestant","Baptist-dk which",NA
2006,"Married",65,"Black","$10000 - 14999","Strong democrat","Protestant","Afr meth episcopal",4
2006,"Widowed",59,"Black","$25000 or more","Strong democrat","Protestant","Other",NA
2006,"Married",43,"Black","$10000 - 14999","Not str democrat","Christian","No denomination",NA
2006,"Never married",49,"Black","Not applicable","Ind,near dem","Protestant","Baptist-dk which",3
2006,"Never married",38,"Black","Not applicable","Ind,near dem","Protestant","Afr meth ep zion",NA
2006,"Married",55,"Black","$25000 or more","Not str democrat","Protestant","Southern baptist",2
2006,"Married",23,"Black","$10000 - 14999","Strong democrat","Protestant","Baptist-dk which",7
2006,"Separated",52,"Black","Lt $1000","Ind,near rep","Protestant","Am baptist asso",NA
2006,"Divorced",33,"Black","$10000 - 14999","Not str democrat","Protestant","Baptist-dk which",NA
2006,"Never married",33,"Black","No answer","Independent","Protestant","Baptist-dk which",8
2006,"Never married",33,"Black","$10000 - 14999","Strong democrat","None","Not applicable",NA
2006,"Widowed",66,"Black","Not applicable","Strong democrat","Protestant","Nat bapt conv of am",NA
2006,"Divorced",46,"Black","$5000 to 5999","Strong democrat","Protestant","Other",NA
2006,"Divorced",34,"White","$20000 - 24999","Not str democrat","Protestant","Other",4
2006,"Married",38,"Black","$25000 or more","Not str democrat","Protestant","Baptist-dk which",NA
2006,"Never married",39,"Black","$8000 to 9999","Strong democrat","Protestant","Other",NA
2006,"Married",34,"Black","$25000 or more","Strong democrat","Protestant","Methodist-dk which",NA
2006,"Widowed",62,"Black","$1000 to 2999","Strong democrat","Protestant","United methodist",NA
2006,"Never married",29,"White","Not applicable","Strong republican","Protestant","Methodist-dk which",1
2006,"Widowed",89,"White","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2006,"Never married",39,"Other","Not applicable","Independent","Catholic","Not applicable",NA
2006,"Married",20,"Other","Not applicable","Independent","Protestant","Baptist-dk which",1
2006,"Married",58,"White","Refused","Strong republican","Protestant","Baptist-dk which",NA
2006,"Married",48,"White","$20000 - 24999","Independent","Protestant","Baptist-dk which",NA
2006,"Divorced",58,"White","$25000 or more","Not str republican","Protestant","Luth ch in america",NA
2006,"Married",61,"White","$25000 or more","Not str republican","Protestant","Southern baptist",4
2006,"Married",48,"White","$25000 or more","Not str republican","Protestant","Southern baptist",NA
2006,"Never married",74,"White","Not applicable","Independent","Protestant","Southern baptist",2
2006,"Never married",21,"White","$8000 to 9999","Independent","None","Not applicable",NA
2006,"Divorced",40,"White","$15000 - 19999","Not str republican","Protestant","Other",3
2006,"Married",31,"White","Not applicable","Ind,near rep","Protestant","Other",NA
2006,"Married",36,"White","Not applicable","Not str republican","Protestant","Southern baptist",2
2006,"Widowed",65,"White","Not applicable","Strong republican","Protestant","Southern baptist",NA
2006,"Never married",66,"White","Don't know","Strong republican","Protestant","Southern baptist",4
2006,"Married",76,"White","Not applicable","Not str republican","Protestant","Southern baptist",1
2006,"Married",54,"White","$25000 or more","Not str democrat","Protestant","Southern baptist",NA
2006,"Married",53,"White","$8000 to 9999","Strong republican","Protestant","Southern baptist",2
2006,"Widowed",81,"White","Not applicable","Strong republican","Protestant","Southern baptist",1
2006,"Never married",18,"White","Not applicable","Independent","Protestant","Other",1
2006,"Married",45,"White","$25000 or more","Strong republican","Protestant","Southern baptist",3
2006,"Married",84,"White","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2006,"Married",73,"White","Not applicable","Ind,near dem","Protestant","Southern baptist",4
2006,"Married",38,"White","$25000 or more","Independent","Protestant","Southern baptist",NA
2006,"Married",26,"White","$15000 - 19999","Not str democrat","Protestant","Southern baptist",2
2006,"Never married",28,"Black","Refused","Not str democrat","Protestant","Southern baptist",NA
2006,"Widowed",80,"Black","Not applicable","Independent","Protestant","Episcopal",12
2006,"Never married",18,"Black","Lt $1000","Ind,near dem","Protestant","Baptist-dk which",NA
2006,"Married",43,"Black","Not applicable","Strong democrat","Protestant","Other",NA
2006,"Married",49,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",NA
2006,"Never married",43,"Black","$20000 - 24999","Ind,near dem","Other","Not applicable",NA
2006,"Married",32,"Black","$25000 or more","Independent","Protestant","Other",NA
2006,"Separated",57,"Black","$20000 - 24999","Strong democrat","Protestant","Baptist-dk which",12
2006,"Divorced",67,"White","$25000 or more","Not str democrat","Protestant","Southern baptist",NA
2006,"Never married",22,"Black","Lt $1000","Strong democrat","Protestant","Baptist-dk which",6
2006,"Divorced",32,"Black","No answer","Not str democrat","Protestant","Baptist-dk which",2
2006,"Married",30,"White","$25000 or more","Not str democrat","Protestant","Southern baptist",2
2006,"Married",53,"White","No answer","Ind,near rep","None","Not applicable",NA
2006,"Married",62,"White","Not applicable","Ind,near rep","Protestant","Other",1
2006,"Married",53,"Other","Don't know","Independent","No answer","No answer",3
2006,"Married",25,"White","$20000 - 24999","Independent","Protestant","Other",NA
2006,"Divorced",63,"White","Not applicable","Independent","Protestant","United methodist",NA
2006,"Married",74,"White","Not applicable","Not str republican","Protestant","Other",2
2006,"Married",60,"White","$25000 or more","Ind,near dem","Protestant","Southern baptist",2
2006,"Married",62,"White","$20000 - 24999","Strong republican","Protestant","Southern baptist",3
2006,"Married",45,"White","$25000 or more","Strong republican","Christian","No denomination",NA
2006,"Married",40,"White","Refused","Not str republican","Protestant","Southern baptist",2
2006,"Widowed",60,"White","$10000 - 14999","Independent","Protestant","Southern baptist",2
2006,"Married",70,"White","Not applicable","Strong republican","Protestant","Southern baptist",NA
2006,"Married",82,"White","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2006,"Divorced",73,"White","Not applicable","Strong democrat","Protestant","Southern baptist",6
2006,"Separated",59,"Black","Not applicable","Ind,near rep","Protestant","Other",10
2006,"Widowed",57,"Black","$10000 - 14999","Not str democrat","Protestant","Baptist-dk which",NA
2006,"Never married",29,"White","Not applicable","Independent","Protestant","Baptist-dk which",NA
2006,"Widowed",62,"Black","Not applicable","Strong democrat","Protestant","Afr meth episcopal",3
2006,"Never married",28,"Black","$25000 or more","Not str democrat","Protestant","Afr meth episcopal",NA
2006,"Never married",26,"Black","$4000 to 4999","Independent","Protestant","Am bapt ch in usa",NA
2006,"Never married",29,"Black","Not applicable","Not str democrat","None","Not applicable",NA
2006,"Never married",40,"Black","Not applicable","Strong democrat","Jewish","Not applicable",NA
2006,"Married",72,"White","Refused","Independent","Catholic","Not applicable",NA
2006,"Divorced",55,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",12
2006,"Married",47,"Black","$25000 or more","Strong democrat","Protestant","Afr meth ep zion",NA
2006,"Married",45,"Black","$20000 - 24999","Strong democrat","Protestant","Afr meth episcopal",NA
2006,"Never married",30,"Black","$15000 - 19999","Not str democrat","Protestant","Afr meth ep zion",NA
2006,"Widowed",78,"White","Not applicable","Independent","Protestant","Baptist-dk which",1
2006,"Married",60,"White","Not applicable","Not str democrat","Protestant","Presbyterian-dk wh",2
2006,"Married",43,"White","$25000 or more","Not str democrat","Catholic","Not applicable",NA
2006,"Married",47,"White","$20000 - 24999","Independent","Catholic","Not applicable",4
2006,"Married",83,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",3
2006,"Never married",24,"White","Not applicable","Independent","Protestant","Baptist-dk which",NA
2006,"Never married",26,"Black","$10000 - 14999","Ind,near rep","Protestant","Other",NA
2006,"Divorced",38,"Black","$20000 - 24999","Not str democrat","Protestant","Baptist-dk which",NA
2006,"Married",69,"White","Not applicable","Ind,near dem","Protestant","Other",6
2006,"Married",48,"Black","$25000 or more","Strong democrat","Protestant","Afr meth episcopal",NA
2006,"Divorced",44,"Black","Not applicable","Strong democrat","Protestant","Other",4
2006,"Never married",24,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",NA
2006,"Never married",26,"Black","$20000 - 24999","Independent","Protestant","Baptist-dk which",NA
2006,"Married",24,"White","$20000 - 24999","Not str republican","Protestant","United methodist",NA
2006,"Married",78,"White","Not applicable","Independent","Catholic","Not applicable",2
2006,"Never married",20,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",NA
2006,"Never married",26,"Black","$4000 to 4999","Not str democrat","Protestant","Baptist-dk which",NA
2006,"Married",43,"Black","$7000 to 7999","Strong democrat","Protestant","Afr meth ep zion",1
2006,"Never married",26,"Black","$4000 to 4999","Ind,near dem","Protestant","Baptist-dk which",7
2006,"Never married",27,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",7
2006,"Never married",25,"Black","Lt $1000","Ind,near dem","Protestant","No denomination",NA
2006,"Never married",25,"Black","Not applicable","Independent","Protestant","Southern baptist",NA
2006,"Never married",25,"Black","Not applicable","Strong democrat","Protestant","Baptist-dk which",1
2006,"Widowed",53,"Black","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2006,"Never married",41,"Black","$5000 to 5999","Strong republican","Protestant","Baptist-dk which",NA
2006,"Married",41,"Black","$25000 or more","Strong democrat","Protestant","Southern baptist",3
2006,"Never married",22,"Black","Not applicable","Strong republican","Protestant","Other",2
2006,"Married",28,"Black","Not applicable","Ind,near dem","Protestant","Other",NA
2006,"Divorced",42,"Black","$25000 or more","Independent","Protestant","Other",NA
2006,"Never married",22,"White","$4000 to 4999","Not str democrat","Catholic","Not applicable",NA
2006,"Never married",34,"Black","$25000 or more","Strong democrat","Protestant","Nat bapt conv of am",NA
2006,"Never married",49,"Black","$15000 - 19999","Not str democrat","Protestant","No denomination",NA
2006,"Never married",25,"White","$10000 - 14999","Not str republican","Catholic","Not applicable",NA
2006,"Married",39,"Other","$25000 or more","Ind,near dem","None","Not applicable",NA
2006,"Divorced",43,"Black","$15000 - 19999","Independent","Protestant","Am bapt ch in usa",6
2006,"Married",65,"White","$25000 or more","Not str democrat","Catholic","Not applicable",4
2006,"Divorced",NA,"Black","$25000 or more","Strong democrat","Protestant","Other",5
2006,"Married",63,"Black","$25000 or more","Independent","Protestant","Other",NA
2006,"Married",52,"White","$25000 or more","Independent","None","Not applicable",3
2006,"Never married",27,"Black","Lt $1000","Ind,near dem","Protestant","Baptist-dk which",12
2006,"Divorced",35,"White","$10000 - 14999","Independent","Christian","No denomination",2
2006,"Separated",36,"Black","$3000 to 3999","Strong republican","Protestant","Baptist-dk which",15
2006,"Married",42,"White","$15000 - 19999","Independent","None","Not applicable",2
2006,"Never married",19,"White","$1000 to 2999","Strong republican","Protestant","Other",NA
2006,"Widowed",82,"White","Not applicable","Strong democrat","Protestant","Other",NA
2006,"Separated",45,"White","$25000 or more","Not str democrat","Protestant","Other",NA
2006,"Married",32,"Other","$5000 to 5999","Independent","Catholic","Not applicable",2
2006,"Married",NA,"White","$20000 - 24999","Independent","Protestant","Southern baptist",NA
2006,"Married",29,"Other","Not applicable","Not str republican","Catholic","Not applicable",12
2006,"Never married",47,"Other","$10000 - 14999","Independent","Protestant","Other",NA
2006,"Widowed",89,"White","Not applicable","Not str democrat","Protestant","United methodist",NA
2006,"Married",37,"Black","$25000 or more","Strong democrat","Protestant","Other",3
2006,"Married",39,"White","$15000 - 19999","Independent","Protestant","Other",3
2006,"Never married",22,"Other","$5000 to 5999","Independent","Catholic","Not applicable",1
2006,"Married",72,"White","Not applicable","Not str democrat","Christian","No denomination",10
2006,"Married",43,"Other","$15000 - 19999","Independent","None","Not applicable",NA
2006,"Never married",38,"White","$15000 - 19999","Independent","Catholic","Not applicable",NA
2006,"Separated",41,"Other","$10000 - 14999","Independent","Catholic","Not applicable",1
2006,"Never married",26,"Black","$25000 or more","Ind,near dem","None","Not applicable",NA
2006,"Married",47,"Black","$15000 - 19999","Independent","Protestant","Am baptist asso",NA
2006,"Married",28,"Other","$4000 to 4999","Not str republican","Protestant","Other",NA
2006,"Married",32,"White","Not applicable","Strong republican","Protestant","Other",NA
2006,"Married",59,"White","$25000 or more","Independent","Protestant","Other",NA
2006,"Separated",43,"White","$25000 or more","Strong republican","Protestant","Other",2
2006,"Never married",65,"White","Not applicable","Not str republican","Protestant","Other",3
2006,"Married",50,"White","Not applicable","Ind,near rep","Protestant","Other",NA
2006,"Married",52,"White","$25000 or more","Independent","Protestant","Other",NA
2006,"Never married",27,"White","$3000 to 3999","Ind,near dem","Protestant","Am baptist asso",5
2006,"Divorced",69,"White","Not applicable","Not str democrat","Protestant","Other",NA
2006,"Married",47,"White","$4000 to 4999","Not str republican","Protestant","Other",2
2006,"Widowed",50,"White","Not applicable","Ind,near dem","Christian","No denomination",NA
2006,"Married",40,"White","$8000 to 9999","Not str democrat","None","Not applicable",NA
2006,"Widowed",82,"White","Not applicable","Not str democrat","Protestant","Other",8
2006,"Married",36,"White","$25000 or more","Not str democrat","Protestant","Other",1
2006,"Married",37,"White","$20000 - 24999","Independent","Protestant","Other",NA
2006,"Married",41,"White","$10000 - 14999","Strong republican","Protestant","Other",NA
2006,"Widowed",78,"White","Not applicable","Strong democrat","Protestant","Southern baptist",NA
2006,"Divorced",61,"White","$20000 - 24999","Strong democrat","Protestant","Baptist-dk which",NA
2006,"Never married",22,"Black","Don't know","Independent","Protestant","Baptist-dk which",5
2006,"Married",36,"White","$25000 or more","Strong republican","Protestant","Other baptists",NA
2006,"Divorced",40,"White","$10000 - 14999","Ind,near rep","Protestant","United methodist",NA
2006,"Widowed",64,"White","Not applicable","Not str democrat","None","Not applicable",NA
2006,"Never married",22,"Black","$8000 to 9999","Not str republican","Protestant","Baptist-dk which",3
2006,"Divorced",49,"Black","$25000 or more","Not str democrat","Protestant","Other",4
